Positive,trailer late ah parthavanga like podunga
Positive,move pathutu vanthu trailer pakurvnga yaru
Positive,puthupetai dhanush  ah yarellam pathinga
Positive,dhanush oda character puthu sa erukay  mass ta
Positive,vera level ippa pesungada mokka nu thalaivaaaaaa
Positive,thala mass  you bgm     vera level
Negative,ivara pathta death vadi madiri irukku
Positive, s kids reference  maadila irunthu kudicha shakthiman kaapathvaaru
Positive,aiyoo thala mass pannita thala
Negative,when pandey gets up  vandumurugan  i am speaking no cross speaking sittt downnn
Negative,remake of malayalam mohanlal movie devadoodhan
Positive,tharamaana sirappaana sambavam inimeal ta paaka pora
Positive,maran  kattu kattitamnue verithanam thalivaa a
Positive,ella trailer la last la oru mass dialouge vaichikuringaaa paaaa
Positive,eppa saamy thala padathula vera director perapakurathu evalo periya santhosama iruku
Positive,kanithan  mugamoodi neenga nambalainalum ithan nesam
Positive,enakku iru mugan trailer gnabagam than varuthu
Positive,are you expecting happy deepavali force dialogue in  movie
Positive, hour  million likes
Positive,raww vana padama iruku  all the best
Negative,en da trailer layae ivlo slow motion nah padathula paathi duration slow motion layae mudichirpeenga polayae
Positive,thalaiva ungala screen pakkum pothey ippadiiii erukinga na  nerla partha yappidiiii erupinga oru murai tharisanam kedaikumaaaa
Negative,rajini ah vida akshay mass ah irukane
Positive,thala koda compare panna yarukum thakuthi kidaiyathu mind it
Positive,marana mass marana style marna gethu mass trailer rajinified
Negative,dialogue pundaiye puriyala otha theatre la nacham sound seri pannungada
Negative,poda mokka moonji unna pathale siriputhan varuthu super herovaam adutha mugamoodiii
Negative,dei kelthu kuthi ajith ivanya yaru nadika sona   
Negative,yaaru ivanaa indha kosu asoorana dei ennada unga rasana
Positive,namma kitte kaadu irunthaeduthukuvanga namma kitte roopa iruntha pudukiku vaanga padippu mattum namma kitte irundhu eduthukave mudiyathu  superb lines
Positive,ethukkuda ivlo actors hypothalaivar padamna avar matumtha  irukanum
Positive,thlaiavaa thalaivaa thaliava thalaivaa thalaivaa
Positive,                                                true in the age information abundance and mass distractions
Positive,supper dhanush anna mass waiting asuran
Positive,vera lvl thalaiva you r great
Negative,mobile main mera phek dunga iphone x barna aisa problem hoga
Positive,boss you looking so handsome nd young kekaa
Positive,looks thrilling thala get up super as lawyer  dai pandey neeya da
Negative,neenga enna vena kathukonga aana hollywood padathukku dubbing mattum kathukathinga
Positive,ena da nadakuthu inga epaaa sathiyamaa edir pakatha trailer totally unimaginable trailer thalivar
Positive,  thala da    by thalapathy fan
Positive,sun picture best or vijay tv best sp best na dislike pannuga vijay tv best na like pannuga
Positive,last dialoge thala fans ungalukkuta iam vijay fan trailer super
Positive,but ore oru varutham ennana sunday release pannirukkalam yesterday aavathu announcement pannirukkalam
Positive,semmma style rajini sir is back
Positive,my dear thala ahhhhhhhhhhhhhh semma gethu
Positive,movie savadi vera level poothalaivar thalaivar thaamass
Positive,super thalaiva semma mass intha movie blockbuster thaan fdfs poravanga like pannunga
Positive, minute trailor vida thil irukkaabollywood la panrangatamila mudiyuma
Positive,dai ranjit nee idha parthu film eduka kathuko
Positive,trailer fast ah podu ana background la main bgm illaye fyt ku varadhinga da unmaiya tha slura
Positive,superb  vivek mervin pinnitinga ponga ungalukagave padam pakanum
Positive,viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu
Positive, thaa enna lookyou daa saami  that bgm lit
Positive,guyzz m likes vara varaikum vitraadheenga
Positive,velraj sir thalaivana masss a kamchirukaru vera level you
Positive,iam vijay fan kerala and iam waiting super stars petta
Positive, thala looka apdiyae vechurkaru pa  without audio la paata thalaikum ivrukkum vityasam teriyathu
Positive,dai yaaru da antha k apadi enna da enga thala mela ungaluku gaandu
Positive,iam sk fan aanaa trailer semma
Positive,wow padam tharu mara iruka poguthu  this pongal petta diwali
Positive,sema mass marana mass tha i love rajini
Positive,k likes varavareku nanu thungamatte nenaikiravage like podunge
Positive,damni am a proud chiyaan vikram fan
Positive,enna panna porom sweet sapda porom
Negative,entha kannada naiyai ennum tamilnattil erunthu anupalaiya
Positive,vaa thalaiva via diwali mass you are movie bikil  out
Positive,veralevel performer dhanush sir
Positive,no means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala
Positive,super akshay sir i love you sir
Positive,looks like he will set screen on fire
Positive,it is pink with ajith kumar ka chutiyapa
Positive,rmba sandhosama irukku thala ipdi suspense movie la nadichadhuand rlz kaga waiting
Positive,villaina mass aa kattallayea  so sad  villain mass aa iruntha thaa movie mass aa irukkum
Positive,trailer vera level athana daaamai kunjugala
Positive,nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa mattum pudungavey mudiyathu chidambaram
Positive, to  marana massssss
Positive,no trendingyellarum idha thana ketutu irundhinga
Positive,dhanush fans hit like here
Negative,eadicha copy daithu ellam avan seyal movie
Positive,like so much thala from ap pawankalyan anna fans
Positive,wow i love you thalaivaaaaaa
Positive,thala kola waiting eppo yaa release panna poringa
Positive,vaalum theivam ajith kumar manitha kadavul ajith kumar sokka thangam ajith kumar en uyirai kaakum ajith kumar ulaga uthaman ajith kumar
Positive,comment box pakka vantha like podunga
Positive,dialogues ah illama mass scenes la pesirukalaam
Positive,pongal namalukku super collection ma 
Positive,thalaivaaaa ippa enna panna porom sweet sapda porom
Positive,yuvan bgm kola mass thalaiva marana waiting for valimai
Positive,thalaivar ku ennum vaisae agala sema
Positive,kaithi blockbuster movie  bigil abhi tak hit bhi nhi huvi
Positive,ippa enna panna poram sweet sapada porom super awesome
Positive,thala  you  yuvan shankar raja  mass
Positive,shakthiman fans kill the like button
Positive,vera level movie  vasool nkp
Positive,sahoo  million nkp innu  million tha    
Positive,thala fans saarbaaga motion poster vendum adhe
Negative,rajinikanth sir is my favorite hero says arr
Negative,kadaram kondan vs saaho i am waiting
Positive,   sec   wowwwww
Positive,last dialogue suit for all fans
Positive,thala fans hit like me
Negative,edho sadhi nadakudhu pa inum trending la varala
Positive,kalaila enthirucha udane thala ah paaka vathavanga oru like ah podunga
Positive,pink bollywood  but like ajit kumar
Negative,comedy ya erukku ithukku billa pandi ok
Positive,vs anna semma epavum pola neega vera level
Positive,okay chiyan vikram in kadaram kondan best wishes
Positive, enna paarva da idhu goosebumps guaranteed
Positive,marana marana marana sirapana tharamaana padam     
Positive,thala look sema mass nu soldravanga mattum oru like podunga
Positive,vanthathu vanthuteenga thala fans ellarum like potutu ponga
Positive,enada pandey news ah vittutu cinema la nadikuran
Positive,ena da bgm ithu yuvannnnnnnnnn rocksssssss
Positive,st like vijay fanss hit likes
Positive,trailer late ah parthu miss pannavanga ippo happy ah
Positive,nazawuddin siddiqui in pettai  tharamana mudivu
Negative,oru pakkam bigil bigil anil kunjugalin alaparaikal
Positive,super  yaru nu keta chinna kulandhai um solum maestro of style
Positive,dhanush indha padathula ethana pera vetunarunu yarachum therinja solunga
Positive,vijay sethupathi fans hit like here
Positive,aiyo enaku ipave thalaya padathula pakanumnu eruku
Positive,thalaaaa   you again rock
Positive,petta telugu la illea  missing in tollywood
Positive,telugu  thala fans hit likes
Negative,ennada m views ku th day laye ivlo mukkudhu nu solra bot anil p pasangala no bots no visay
Positive,akshay kumar as shiva kumar
Negative,teaser la iruntha yedho onnu trailer la missing aana ithuvum nalla than irukku
Positive,   maran waiting la panavendam poi saavunga ajith fans
Positive,dhanush fans sarbaga padam vetri adiya valthukal
Positive,sweet sappuda porom  sweet saputtu apdiye ethavthu karama viswasam sappuduvom
Positive,pazhaya rajinikanth ah paatha feeling pa
Positive,neraya neraya neraya neraya neraya what a  performance voice vera level
Positive,ithan diwali fightsemme kartikstory value va hero value r nu
Positive,dhanush fans oru like potutu ponga
Positive,pink  but like for ajith
Positive,beginning of satyayuga end of kaliyuga
Positive,dhanush sir ku ella get up um set aagudhu
Positive,inimal sun networkla petta promo poda start panniduvaanga
Positive,neraya neraya neraya neraya neraya what a powerful voice
Positive,thala dye adikkam irukanaalathan naama nimathiya irukkamudiythuthala takkarudoi
Positive,krish movie mask mathiri erukku pa
Positive,chiyaan vikram sir vera 
Positive,ethe maari ennamo padam pathaa maatiye eruke    
Positive,thala thanta thalaiya minja evanta
Positive, late a vanthalu latest  a vanthurukku
Negative,bigil satham ketta ella kaithiyum amaithithan
Positive,confirm m likes varumnu soldravange like podunge machanzz
Positive,happy new year  thalaivar padam mass kata pothu
Positive,thala vera level maas  you bgm ultimate
Negative,dai youtube trending la podu da
Positive,sam cs vera level ya un bgm
Positive,thala vera level n yuvan bgm semmeee
Positive,thala endru sollada thalai nimirndhu nillada  vanthudaruda en thala ippa vangada kena
Positive,thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa thalaivaa
Negative,all the best karthi and lokesh kanakaraaj
Positive,romba naaluku aparam thalaivar  sema massa pakurom get rajinified 
Positive,enna mari veetuku theriyama ippa trailer parkuravanga yaravadhu irukeengala
Negative,mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen
Positive,elam girls um trailer ah patha maari movie ya kandipaa parungaa
Positive,viswasam teaser vartum nama side la irnthu oru sambavam panuvom
Positive,intha padatha pathe aakanum thalaivaa aaaaaa
Positive,kris s movie pola irukkunu yaarukkavadu feel aahircha
Negative,viswasam trailer k like   m  like thala fans like tha trailer
Positive,ada dei nama sambatha da dei
Positive,movie pathutan semma mass a irukku music la vera leval
Positive,marana mass thala i am waiting       
Positive,intha padathula gethu mass kaatra thalaya nadikala intha padathula intha naatoda indraiya unmaiya solra ajith kumar ah nadichirkaaru stopwomenabuse
Positive,vayase aagala pa ena effort chanceless  
Positive,thala yada dialogue delivery sema mass vera level  goosebumps overloaded
Positive,gommala vararuda ye thalaivar ippavea alluthuparu palapearuku parupuuu
Positive,vaera level thala summa na podathiga mokka seenu eppa naerkonda parvai is coming soon
Positive,vayasanalum unga style azhagum innum marala thalaiva roxkzzzzzz
Positive,matha actor la vera level na niii top level thalaivaaa
Positive,enna panna porom sweet sapda porom petta paraak
Negative,dislike pota ealarum  lusu p  
Positive,vena padama release pannathinga pakka mudiyala
Positive,thala bloods ellaarum oru like podunga
Positive,deepavali ku vera level padam irukku  pakka  kaithi deepavali
Positive,aiyo thala marana mass thala love you so much thala
Positive,thla da  you bgm
Positive,intha padampothu thalaya asaikka kooda mudiyathu
Positive,nkp  million views varum solravaga thala fans hit like button million like
Positive,super super super super star rajini sri good
Negative,mind blowing  ipo paarunga therikka vitudalam
Positive,semma thala nee vera level nee onnaya paratta vaarthaiye illa fantastic thala
Positive,king of kollywood one  only thala thala thala thala thala thala thala
Positive,thala mass but court room perusa irundhurkalam
Negative,idhu  padam da ommla enna padam da i saw  shows back to back vera level
Positive,pakkaaa message polathalaivaaa we are waiting
Positive,tamil nadimarke oru puthiya velluvilliakkumooo manju chechiudea puthiya entry
Positive,nammaku tevaiyanada namma taan adichi vaanganum padipa mattum nammakitta irundu edutuka mudiyathu
Positive,ennayyanamma makkal selvan padam trailerkke oru full thalapathy movie paatha alavukk appadiye silirpp kottuth
Positive,last dailog          inga like podunga
Negative,super star is super star vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv vv nice trailer i really love it
Negative,st unga thalaivara age ku thaguntha mathiri natikka sollunga appuram vijay ajith pathi peasalam
Negative,naanum thalavar rasigan than enakku akshaya kumar performance than pudichi irukku thalavara dummy ah aakitanagaama vai illa ya
Positive,vera level sk bro keep going huge
Positive,oruthar mela viswasatha katrathuku innorthara yen asinga paduthuringa
Positive,last dialague semma rasikanuku advice pannitaru thala super thala
Positive,super pa thalapadhy rasigar saarba vaalthukal
Positive,thala ena thala ketta mass ah irukiyae
Positive,appo kabalieee na nerupuda  eppo robot na chitti o version
Positive,waiting m likes and m views
Positive,vayasu analum unga style um alagum innum ungala vitu pogalaold time rajni ah pakaramariye iruku
Negative,realy trailer marana massa iruku iam waiting petta
Positive,you are line line line ithu mari neriya  neriya neriya neriya padatthula irukum pola iam waiting
Positive,simion sir enga irrukinga  sekiram vanga
Positive,wow   mill ns views
Positive,back to back super blockbuster movies first      then petta rajnikanth is just amaaaaaaazing
Positive,      hatters dislike pannunalum asuran movie kku award confirm bypure dhanush anna fan
Positive,dislike pannravan ratham kakkai saavan  
Positive,   i am waiting for nerkoonda paarvai
Positive,vijay vera vera vera vetakaran taan da venumm ajith nerya nerya nerya nerya nerya
Negative,thala pathi thappaa cmnt panura kuchikari movanlaam odirunga
Positive,dislike panavan oruthanuku poruthuruka maatan poogada 
Positive,dei kadisiya style dance ah parunga da ayyo sema thalaiva cuteness charisma fight sequel banged comeback
Negative,shaktiman madri next comedy punda aga poren sakadai kelavan
Positive,thalaya screen la parka yarellam marana waiting comment pannunga thala rathangale        
Positive,vada chennai  jaygiromo illayo motha sanda seiyanum asuran  namaku theva yanatha nambha tha adichi vanganum
Positive,entha trailer best nu pakalam  like  asuran   cmnt kaapan
Positive,comments parka vandha padika vandha nanba nanbigal like pannitu pooga
Positive,thala thaan eppavume ennudaya role maadal
Positive, it is superstar rajini not rajni spelling mistake 
